# ID	Field	StarID	RA	Decl	I	V	P_1	dP_1
OGLE-SMC-CEP-0159	SMC130.7	6382	00:33:16.24	-73:24:05.5	17.346	17.981	0.7573306	0.0000014
OGLE-SMC-CEP-0160	SMC131.8	3823	00:33:16.95	-72:54:45.6	16.944	17.341	0.6072891	0.0000018
OGLE-SMC-CEP-0161	SMC131.7	3588	00:33:17.78	-72:44:36.0	17.561	17.972	0.5333991	0.0000020
OGLE-SMC-CEP-0162	SMC133.5	6226	00:33:20.13	-73:44:11.3	17.497	18.113	1.2334988	0.0000011
OGLE-SMC-CEP-0163	SMC130.7	5950	00:33:23.02	-73:23:05.3	14.044	14.873	13.7243492	0.0000697
OGLE-SMC-CEP-0164	SMC133.5	5914	00:33:23.19	-73:40:50.1	17.039	17.697	1.6467361	0.0000019
OGLE-SMC-CEP-0165	SMC130.6	5539	00:33:28.69	-73:10:32.3	17.546	17.972	0.5373006	0.0000020
OGLE-SMC-CEP-0166	SMC133.5	5919	00:33:31.16	-73:38:13.3	17.009	17.509	0.8736361	0.0000006
OGLE-SMC-CEP-0167	SMC132.5	85	00:33:31.47	-70:56:53.2	17.699	18.115	0.6865170	0.0000004
OGLE-SMC-CEP-0168	SMC133.5	5921	00:33:31.81	-73:38:00.9	17.018	17.448	1.2996489	0.0000008
OGLE-SMC-CEP-0169	SMC131.7	3493	00:33:34.11	-72:45:45.6	16.377	16.984	2.1172142	0.0000014
OGLE-SMC-CEP-0170	SMC130.8	6218	00:33:37.88	-73:31:39.5	17.288	17.910	1.2284270	0.0000009
OGLE-SMC-CEP-0171	SMC133.2	115	00:33:39.83	-74:02:43.5	16.996	-99.99	1.5514786	0.0000017
OGLE-SMC-CEP-0172	SMC130.5	4425	00:33:42.98	-73:04:22.8	17.203	17.675	0.6395922	0.0000022
OGLE-SMC-CEP-0173	SMC133.3	330	00:33:54.87	-73:46:44.3	17.632	18.175	0.6635007	0.0000007
OGLE-SMC-CEP-0174	SMC133.2	279	00:33:57.23	-73:59:37.8	17.598	18.187	1.1789457	0.0000009
OGLE-SMC-CEP-0175	SMC133.3	362	00:34:08.60	-73:49:46.7	17.514	18.141	1.1338167	0.0000007
OGLE-SMC-CEP-0176	SMC130.4	134	00:34:09.85	-73:09:49.7	16.797	17.387	1.4996071	0.0000009
OGLE-SMC-CEP-0177	SMC130.2	360	00:34:11.28	-73:25:52.7	17.364	18.001	0.7728229	0.0000015
OGLE-SMC-CEP-0178	SMC130.1	153	00:34:11.53	-73:31:51.9	16.969	17.540	1.5769417	0.0000075
OGLE-SMC-CEP-0179	SMC130.1	359	00:34:19.07	-73:33:15.9	17.517	18.147	0.7064026	0.0000008
OGLE-SMC-CEP-0180	SMC130.2	408	00:34:26.12	-73:20:04.1	17.098	17.592	0.9733117	0.0000011
OGLE-SMC-CEP-0181	SMC133.2	152	00:34:28.58	-74:02:45.2	17.036	17.639	1.5504320	0.0000007
OGLE-SMC-CEP-0182	SMC130.3	186	00:34:32.84	-73:12:04.2	16.494	17.148	2.0019525	0.0000011
OGLE-SMC-CEP-0183	SMC133.2	353	00:34:33.39	-74:00:35.9	17.430	18.060	1.2011859	0.0000010
OGLE-SMC-CEP-0184	SMC130.3	191	00:34:34.99	-73:10:49.8	17.075	17.533	0.8087463	0.0000031
OGLE-SMC-CEP-0185	SMC130.2	75	00:34:35.20	-73:21:26.9	15.526	16.146	3.5795905	0.0000024
OGLE-SMC-CEP-0186	SMC131.1	256	00:34:36.96	-73:01:21.7	17.300	17.841	0.8911590	0.0000012
OGLE-SMC-CEP-0187	SMC133.4	507	00:34:36.98	-73:38:16.4	17.174	17.774	0.7654125	0.0000008
OGLE-SMC-CEP-0188	SMC133.1	59	00:34:37.98	-74:12:03.8	15.910	16.644	3.8435370	0.0000053
OGLE-SMC-CEP-0189	SMC134.4	276	00:34:40.14	-74:17:22.7	17.580	18.157	0.6983075	0.0000010
OGLE-SMC-CEP-0190	SMC133.4	214	00:34:41.97	-73:44:17.6	16.629	17.209	1.8989380	0.0000012
OGLE-SMC-CEP-0191	SMC133.2	162	00:34:42.03	-74:01:36.4	17.122	17.614	0.7719118	0.0000005
OGLE-SMC-CEP-0192	SMC131.2	205	00:34:43.91	-72:50:27.3	17.647	18.240	0.6416234	0.0000013
OGLE-SMC-CEP-0193	SMC130.4	165	00:34:44.37	-73:04:31.3	16.315	17.065	2.5257426	0.0000040
OGLE-SMC-CEP-0194	SMC130.4	168	00:34:46.03	-73:05:45.9	16.642	17.322	1.8008808	0.0000010
OGLE-SMC-CEP-0195	SMC130.2	213	00:34:48.07	-73:28:15.7	16.693	17.375	1.8247826	0.0000013
OGLE-SMC-CEP-0196	SMC130.4	175	00:34:49.51	-73:06:13.2	16.430	17.100	2.0726305	0.0000012
OGLE-SMC-CEP-0197	SMC130.4	179	00:34:50.07	-73:03:51.2	16.811	17.239	0.8843614	0.0000010
OGLE-SMC-CEP-0198	SMC131.2	220	00:34:51.99	-72:45:10.2	17.457	17.838	0.6238527	0.0000005
OGLE-SMC-CEP-0199	SMC133.3	467	00:34:54.30	-73:46:47.9	17.496	18.093	1.0944004	0.0000007
OGLE-SMC-CEP-0200	SMC134.4	59	00:34:56.69	-74:18:35.7	15.539	16.333	4.9779450	0.0000159
OGLE-SMC-CEP-0201	SMC133.2	411	00:34:56.80	-74:00:28.3	17.732	18.136	0.5094556	0.0000012
OGLE-SMC-CEP-0202	SMC130.1	209	00:35:00.43	-73:34:44.9	16.736	17.262	1.0318131	0.0000006
OGLE-SMC-CEP-0203	SMC130.2	236	00:35:02.77	-73:26:26.5	16.625	17.290	2.0277165	0.0000012
OGLE-SMC-CEP-0204	SMC130.4	199	00:35:05.50	-73:06:21.7	16.713	17.291	1.0972286	0.0000014
OGLE-SMC-CEP-0205	SMC130.3	223	00:35:07.21	-73:14:40.4	16.968	17.612	1.4438429	0.0000011
OGLE-SMC-CEP-0206	SMC133.3	231	00:35:09.58	-73:49:03.8	17.029	17.603	1.5217450	0.0000007
OGLE-SMC-CEP-0207	SMC133.2	190	00:35:10.37	-73:55:12.5	17.200	17.797	0.7629685	0.0000053
OGLE-SMC-CEP-0208	SMC133.4	19	00:35:11.70	-73:43:18.4	13.620	14.404	16.6809539	0.0000974
OGLE-SMC-CEP-0209	SMC130.4	210	00:35:16.14	-73:05:08.2	16.879	17.591	2.0224935	0.0000022
OGLE-SMC-CEP-0210	SMC130.2	567	00:35:18.43	-73:22:11.6	17.433	18.021	1.0320805	0.0000004
OGLE-SMC-CEP-0211	SMC131.1	161	00:35:18.67	-72:58:48.0	16.959	17.392	0.6546021	0.0000017
OGLE-SMC-CEP-0212	SMC133.2	97	00:35:19.89	-73:56:18.2	16.195	16.797	1.7410109	0.0000038
OGLE-SMC-CEP-0213	SMC130.4	94	00:35:20.28	-73:04:38.1	15.951	16.545	1.8097905	0.0000025
OGLE-SMC-CEP-0214	SMC133.4	276	00:35:24.62	-73:44:45.4	16.591	17.183	1.2795969	0.0000016
OGLE-SMC-CEP-0215	SMC130.1	264	00:35:33.10	-73:31:12.1	16.354	17.042	2.3407344	0.0000019
OGLE-SMC-CEP-0216	SMC130.4	100	00:35:34.62	-73:09:22.1	16.355	16.902	1.2589903	0.0000027
OGLE-SMC-CEP-0217	SMC130.1	113	00:35:36.58	-73:36:05.4	16.303	16.978	2.5167361	0.0000022
OGLE-SMC-CEP-0218	SMC133.4	129	00:35:41.43	-73:40:15.7	16.090	16.652	2.4168761	0.0000014
OGLE-SMC-CEP-0219	SMC133.1	414	00:35:42.23	-74:06:53.2	17.379	17.982	1.2139388	0.0000007
OGLE-SMC-CEP-0220	SMC131.1	401	00:35:42.30	-73:00:49.8	17.153	17.783	1.7882115	0.0000018
